Datetime,Close,High,Low,Open,Volume,MA_20,MA_50,RSI,MACD,MACD_signal,MACD_hist
2026-01-23 03:50:00+00:00,25320.099609375,25323.30078125,25259.900390625,25274.80078125,0,25297.7001953125,25297.7001953125,100.0,3.573695690884051,0.7147391381768102,2.858956552707241
2026-01-23 03:55:00+00:00,25344.599609375,25344.599609375,25311.349609375,25320.44921875,0,25313.33333333333,25313.33333333333,100.0,8.287289799802238,2.229249270501896,6.058040529300342
2026-01-23 04:00:00+00:00,25315.400390625,25345.349609375,25311.849609375,25344.19921875,0,25313.85009765625,25313.85009765625,95.0738162625258,9.556552180863946,3.694709852574306,5.86184232828964
2026-01-23 04:05:00+00:00,25304.5,25319.25,25295.44921875,25315.94921875,0,25311.980078125,25311.980078125,93.22748306367455,9.572535111256002,4.870274904310645,4.702260206945357
2026-01-23 04:10:00+00:00,25285.69921875,25318.150390625,25283.94921875,25305.5,0,25307.599934895832,25307.599934895832,89.9816828731861,7.976191209298122,5.49145816530814,2.4847330439899817
2026-01-23 04:15:00+00:00,25300.25,25312.55078125,25267.69921875,25287.599609375,0,25306.549944196428,25306.549944196428,90.26419986323904,7.7953437367214065,5.952235279590794,1.8431084571306124
2026-01-23 04:20:00+00:00,25281.400390625,25303.150390625,25281.400390625,25300.25,0,25303.40625,25303.40625,86.84749233318776,6.061145752657467,5.974017374204129,0.0871283784533378
2026-01-23 04:25:00+00:00,25290.94921875,25301.900390625,25280.30078125,25281.5,0,25302.022135416668,25302.022135416668,87.11359933592759,5.395100621240999,5.858234023611503,-0.463133402370504
2026-01-23 04:30:00+00:00,25287.94921875,25304.05078125,25263.5,25292.30078125,0,25300.61484375,25300.61484375,86.52131978687183,4.572471522595151,5.601081523408233,-1.0286100008130816
2026-01-23 04:35:00+00:00,25277.650390625,25308.650390625,25276.599609375,25287.5,0,25298.52716619318,25298.52716619318,84.39986505015777,3.054294668698276,5.0917241524662415,-2.0374294837679656
2026-01-23 04:40:00+00:00,25281.69921875,25291.599609375,25278.25,25278.650390625,0,25297.124837239586,25297.124837239586,84.56014531717172,2.153016531952744,4.503982628363542,-2.350966096410798
2026-01-23 04:45:00+00:00,25261.349609375,25288.05078125,25251.55078125,25280.55078125,0,25294.372896634617,25294.372896634617,80.10538022856733,-0.2009795256853976,3.5629901975537543,-3.763969723239152
2026-01-23 04:50:00+00:00,25264.19921875,25268.349609375,25258.099609375,25261.69921875,0,25292.21763392857,25292.21763392857,80.26218959390543,-1.815668799899868,2.4872583980630303,-4.302927197962898
2026-01-23 04:55:00+00:00,25291.44921875,25295.900390625,25260.80078125,25265.150390625,0,25292.16640625,25292.16640625,81.74404796834068,-0.8862581879584468,1.812555080858735,-2.6988132688171818
2026-01-23 05:00:00+00:00,25303.80078125,25320.80078125,25286.69921875,25291.69921875,0,25292.8935546875,25292.8935546875,82.38943623004812,0.8373221568690496,1.6175084960607982,-0.7801863391917485
2026-01-23 05:05:00+00:00,25300.099609375,25315.69921875,25298.94921875,25303.55078125,0,25293.317440257357,25293.317440257357,81.46011971175693,1.8829133070139503,1.670589458251429,0.2123238487625218
2026-01-23 05:10:00+00:00,25293.349609375,25310.19921875,25286.44921875,25301.349609375,0,25293.319227430555,25293.319227430555,79.69460933494359,2.1421894126033294,1.764909449121809,0.3772799634815205
2026-01-23 05:15:00+00:00,25275.94921875,25300.400390625,25270.44921875,25293.25,0,25292.40501644737,25292.40501644737,75.17168399971473,0.9328481986049156,1.5984971990184302,-0.6656490004135147
2026-01-23 05:20:00+00:00,25278.05078125,25287.400390625,25273.69921875,25275.849609375,0,25291.6873046875,25291.6873046875,75.35361707469325,0.142373906175635,1.3072725404498713,-1.1648986342742362
2026-01-23 05:25:00+00:00,25277.55078125,25285.099609375,25269.69921875,25278.25,0,25291.7998046875,25291.014136904763,75.21240681248132,-0.5184520939474169,0.9421276135704136,-1.4605797075178306
2026-01-23 05:30:00+00:00,25265.80078125,25285.55078125,25265.19921875,25277.650390625,0,25289.08486328125,25289.86807528409,71.80690654386814,-1.9676069134875436,0.3601807081588223,-2.3277876216463658
2026-01-23 05:35:00+00:00,25274.150390625,25280.0,25261.05078125,25265.0,0,25285.56240234375,25289.184697690216,72.75108402256639,-2.414496045170381,-0.1947546425070184,-2.2197414026633626
2026-01-23 05:40:00+00:00,25284.900390625,25293.599609375,25273.5,25274.25,0,25284.03740234375,25289.006184895832,73.96022016685066,-1.8795573757452075,-0.5317151891546563,-1.3478421865905512
