Datetime,Close,High,Low,Open,Volume
2026-01-23 03:45:00+00:00,25275.30078125,25344.900390625,25249.55078125,25338.25,0
2026-01-23 03:50:00+00:00,25320.099609375,25323.30078125,25259.900390625,25274.80078125,0
2026-01-23 03:55:00+00:00,25344.599609375,25344.599609375,25311.349609375,25320.44921875,0
2026-01-23 04:00:00+00:00,25315.400390625,25345.349609375,25311.849609375,25344.19921875,0
2026-01-23 04:05:00+00:00,25304.5,25319.25,25295.44921875,25315.94921875,0
2026-01-23 04:10:00+00:00,25285.69921875,25318.150390625,25283.94921875,25305.5,0
2026-01-23 04:15:00+00:00,25300.25,25312.55078125,25267.69921875,25287.599609375,0
2026-01-23 04:20:00+00:00,25281.400390625,25303.150390625,25281.400390625,25300.25,0
2026-01-23 04:25:00+00:00,25290.94921875,25301.900390625,25280.30078125,25281.5,0
2026-01-23 04:30:00+00:00,25287.94921875,25304.05078125,25263.5,25292.30078125,0
2026-01-23 04:35:00+00:00,25277.650390625,25308.650390625,25276.599609375,25287.5,0
2026-01-23 04:40:00+00:00,25281.69921875,25291.599609375,25278.25,25278.650390625,0
2026-01-23 04:45:00+00:00,25261.349609375,25288.05078125,25251.55078125,25280.55078125,0
2026-01-23 04:50:00+00:00,25264.19921875,25268.349609375,25258.099609375,25261.69921875,0
2026-01-23 04:55:00+00:00,25291.44921875,25295.900390625,25260.80078125,25265.150390625,0
2026-01-23 05:00:00+00:00,25303.80078125,25320.80078125,25286.69921875,25291.69921875,0
2026-01-23 05:05:00+00:00,25300.099609375,25315.69921875,25298.94921875,25303.55078125,0
2026-01-23 05:10:00+00:00,25293.349609375,25310.19921875,25286.44921875,25301.349609375,0
2026-01-23 05:15:00+00:00,25275.94921875,25300.400390625,25270.44921875,25293.25,0
2026-01-23 05:20:00+00:00,25278.05078125,25287.400390625,25273.69921875,25275.849609375,0
2026-01-23 05:25:00+00:00,25277.55078125,25285.099609375,25269.69921875,25278.25,0
2026-01-23 05:30:00+00:00,25265.80078125,25285.55078125,25265.19921875,25277.650390625,0
2026-01-23 05:35:00+00:00,25274.150390625,25280.0,25261.05078125,25265.0,0
2026-01-23 05:40:00+00:00,25284.900390625,25293.599609375,25273.5,25274.25,0
2026-01-23 05:45:00+00:00,25265.25,25289.900390625,25264.849609375,25285.30078125,0
2026-01-23 05:50:00+00:00,25264.75,25275.94921875,25254.80078125,25265.099609375,0
2026-01-23 05:55:00+00:00,25275.30078125,25278.19921875,25263.30078125,25265.900390625,0
2026-01-23 06:00:00+00:00,25256.400390625,25279.349609375,25255.599609375,25275.849609375,0
2026-01-23 06:05:00+00:00,25229.099609375,25259.25,25229.099609375,25256.44921875,0
2026-01-23 06:10:00+00:00,25211.599609375,25230.55078125,25210.400390625,25229.69921875,0
2026-01-23 06:15:00+00:00,25193.349609375,25215.80078125,25193.349609375,25211.44921875,0
2026-01-23 06:20:00+00:00,25207.44921875,25224.650390625,25191.599609375,25193.44921875,0
2026-01-23 06:25:00+00:00,25215.19921875,25218.150390625,25202.94921875,25208.05078125,0
2026-01-23 06:30:00+00:00,25219.150390625,25223.30078125,25198.150390625,25214.75,0
2026-01-23 06:35:00+00:00,25189.55078125,25218.55078125,25186.849609375,25218.55078125,0
2026-01-23 06:40:00+00:00,25185.19921875,25195.80078125,25183.94921875,25190.849609375,0
2026-01-23 06:45:00+00:00,25219.599609375,25220.349609375,25185.94921875,25185.94921875,0
2026-01-23 06:50:00+00:00,25203.650390625,25222.94921875,25203.400390625,25220.349609375,0
2026-01-23 06:55:00+00:00,25205.650390625,25218.05078125,25194.0,25204.55078125,0
2026-01-23 07:00:00+00:00,25211.150390625,25220.5,25199.44921875,25205.30078125,0
2026-01-23 07:05:00+00:00,25216.650390625,25217.80078125,25202.599609375,25210.0,0
2026-01-23 07:10:00+00:00,25223.05078125,25236.599609375,25207.05078125,25216.55078125,0
2026-01-23 07:15:00+00:00,25210.75,25243.80078125,25208.150390625,25223.30078125,0
2026-01-23 07:20:00+00:00,25229.099609375,25229.75,25202.19921875,25212.05078125,0
2026-01-23 07:25:00+00:00,25202.94921875,25229.75,25200.900390625,25229.75,0
2026-01-23 07:30:00+00:00,25194.30078125,25213.30078125,25191.69921875,25203.94921875,0
2026-01-23 07:35:00+00:00,25187.25,25198.5,25180.55078125,25194.05078125,0
2026-01-23 07:40:00+00:00,25196.400390625,25200.349609375,25183.900390625,25187.75,0
2026-01-23 07:45:00+00:00,25148.94921875,25197.349609375,25143.05078125,25196.650390625,0
2026-01-23 07:50:00+00:00,25128.0,25149.55078125,25124.94921875,25148.55078125,0
2026-01-23 07:55:00+00:00,25124.599609375,25148.25,25121.5,25127.75,0
2026-01-23 08:00:00+00:00,25070.650390625,25125.80078125,25068.099609375,25125.599609375,0
2026-01-23 08:05:00+00:00,25062.55078125,25077.150390625,25056.599609375,25072.25,0
2026-01-23 08:10:00+00:00,25049.55078125,25081.400390625,25047.849609375,25063.30078125,0
2026-01-23 08:15:00+00:00,25057.099609375,25067.5,25044.150390625,25049.25,0
2026-01-23 08:20:00+00:00,25063.69921875,25068.400390625,25050.349609375,25057.44921875,0
2026-01-23 08:25:00+00:00,25049.94921875,25070.5,25046.75,25063.25,0
2026-01-23 08:30:00+00:00,25065.30078125,25068.44921875,25046.80078125,25049.80078125,0
2026-01-23 08:35:00+00:00,25067.69921875,25075.25,25051.849609375,25065.650390625,0
2026-01-23 08:40:00+00:00,25063.400390625,25078.05078125,25056.400390625,25068.150390625,0
2026-01-23 08:45:00+00:00,25060.099609375,25095.150390625,25053.150390625,25064.05078125,0
2026-01-23 08:50:00+00:00,25044.75,25066.900390625,25041.349609375,25060.150390625,0
2026-01-23 08:55:00+00:00,25069.349609375,25089.650390625,25043.94921875,25045.19921875,0
2026-01-23 09:00:00+00:00,25088.75,25100.150390625,25068.19921875,25069.94921875,0
